,Unnamed: 0,Gender,Location,Type of location,Age,Profession,Annual Income,Model,Segment,Environmet,PowerTrain,Price,Choice,Budget,Preformance,Affordability,Style,Luxury,RunningCost
0,0,Male,Uttar Pradesh,Major City,20,Student,2.5,SUV,['Preformance'],A lilttle bit,Lack of charging options,1.5,Negligible Running cost,0.0,0,0,0,0,0
1,1,Female,Uttar Pradesh,Major City,23,Student,2.5,Sedan,['Affordability'],A lilttle bit,Range in terms of distance,7.5,Negligible Running cost,12.5,0,0,0,0,0
2,2,Male,Uttar Pradesh,Major City,20,Student,2.5,SUV,"['Style', 'Performance']",A lilttle bit,Lack of charging options,4.0,Negligible Running cost,17.5,0,0,0,0,0
3,3,Female,Delhi,Major City,19,Student,25.0,SUV,['Performance'],It is taken into consideration,Lack of charging options,0.0,I do not prefer an electric car,2.5,0,0,0,0,0
4,4,Female,Haryana,Major City,19,Student,2.5,SUV,['Performance'],A lilttle bit,Affordability,0.0,Enviroment Friendly,7.5,0,0,0,0,0
5,5,Female,Noida,Major City,47,Working professional,7.5,Sedan,['Performance'],It is taken into consideration,Lack of charging options,0.0,Negligible Running cost,7.5,0,0,0,0,0
6,6,Male,Delhi,Major City,55,Working professional,15.0,Sedan,['Performance'],A lilttle bit,Affordability,1.5,Enviroment Friendly,7.5,0,0,0,0,0
7,7,Male,Uttar Pradesh,Major City,19,Student,2.5,Sedan,['Performance'],It is a major concern,Lack of charging options,7.5,Enviroment Friendly,50.0,0,0,0,0,0
8,8,Female,Uttar Pradesh,Major City,19,Student,2.5,SUV,['Performance'],It is a major concern,Lack of design options,0.0,Enviroment Friendly,7.5,0,0,0,0,0
9,9,Male,Haryana,Major City,19,Student,2.5,MPV (Multi purpose vehicle),"['Luxury', 'Performance', 'RunningCost']",It is taken into consideration,Range in terms of distance,0.0,I do not prefer an electric car,25.0,0,0,0,0,0
10,10,Male,Delhi,Major City,23,Student,2.5,Sedan,"['Luxury', 'Performance', 'Affordability', 'RunningCost']",It is taken into consideration,Lack of charging options,4.0,Enviroment Friendly,12.5,0,0,0,0,0
11,11,Male,Karnataka,Major City,21,Student,2.5,Hatch back,"['Style', 'Performance', 'Affordability', 'RunningCost']",It is taken into consideration,Lack of charging options,0.0,Enviroment Friendly,12.5,0,0,0,0,0
12,12,Male,Uttar Pradesh,Major City,19,Student,2.5,Hatch back,"['Style', 'Luxury', 'Performance', 'Affordability', 'RunningCost']",It is taken into consideration,Lack of charging options,11.0,I do not prefer an electric car,7.5,0,0,0,0,0
13,13,Male,Uttar Pradesh,Major City,19,Student,2.5,SUV,"['Performance', 'RunningCost']",It is taken into consideration,Lack of charging options,0.0,I do not prefer an electric car,2.5,0,0,0,0,0
14,14,Male,Uttar Pradesh,Major City,42,Working professional,15.0,Sedan,"['Style', 'Luxury', 'Performance', 'Affordability', 'RunningCost']",It is a major concern,Affordability,0.0,Negligible Running cost,12.5,0,0,0,0,0
15,15,Female,Uttar Pradesh,Major City,20,Student,2.5,SUV,"['Style', 'Luxury', 'Performance', 'Affordability', 'RunningCost']",It is taken into consideration,Lack of charging options,0.0,Enviroment Friendly,7.5,0,0,0,0,0
16,16,Female,Uttar Pradesh,Major City,20,Student,60.0,SUV,"['Style', 'Performance', 'Affordability']",It is taken into consideration,Lack of charging options,0.0,Enviroment Friendly,12.5,0,0,0,0,0
17,17,Female,Karnataka,Major City,23,Student,2.5,SUV,"['Style', 'Affordability', 'RunningCost']",It is taken into consideration,Lack of charging options,0.0,I do not prefer an electric car,7.5,0,0,0,0,0
18,18,Female,Greater Noida west,Major City,40,Non working,2.5,Sedan,['RunningCost'],It is a major concern,Range in terms of distance,0.0,Negligible Running cost,7.5,0,0,0,0,0
19,19,Female,Uttar Pradesh,Major City,19,Student,2.5,Sedan,"['Performance', 'Affordability', 'RunningCost']",It is taken into consideration,Affordability,0.0,Negligible Running cost,7.5,0,0,0,0,0
20,20,Male,Maharashtra,Major City,29,Working professional,7.5,Hatch back,"['Style', 'Performance', 'Affordability']",None,Lack of charging options,1.5,Negligible Running cost,7.5,0,0,0,0,0
21,21,Female,Tamil Nadu,Minor City,31,Working professional,2.5,SUV,"['Luxury', 'Performance', 'Affordability']",It is a major concern,Range in terms of distance,1.5,Enviroment Friendly,7.5,0,0,0,0,0
22,22,Female,Delhi,Major City,23,Student,2.5,SUV,['Performance'],It is a major concern,I dont have any concerns,11.0,Enviroment Friendly,25.0,0,0,0,0,0
